Index,GSM2638145,GSM2638109,GSM2638111,GSM2638153,GSM2638144,GSM2638113,GSM2638140,GSM2638139,GSM2638138,GSM2638155,GSM2638141,GSM2638105,GSM2638154,GSM2638142,GSM2638104,GSM2638148,GSM2638149,GSM2638103,GSM2638156,GSM2638150
RAB5B,1394,365.0,402.0,2396,1515,503.0,2003,2046,1062,1763,1315,454.0,1818,1524,509.0,2208,1734,477.0,1906,1529
CRYBA1,4,1.0,0.0,0,0,0.0,5,3,1,0,5,1.0,6,4,0.0,2,2,1.0,1,4
DNMT3L,7,1.0,2.0,13,1,0.0,4,13,5,14,5,4.0,2,11,1.0,15,12,1.0,16,8
AIRE,9,2.0,2.0,11,2,5.0,8,3,11,8,3,1.0,4,14,3.0,7,7,4.0,3,2
ICOSL,324,93.0,150.0,440,353,129.0,526,442,255,409,323,90.0,310,474,104.0,437,420,138.0,411,279
SPG7,1396,343.0,311.0,2073,1463,417.0,1568,1588,844,1706,1229,378.0,1702,1317,342.0,1602,1412,305.0,1279,1419
SULT5A1,20,15.0,12.0,94,38,22.0,51,76,29,93,19,10.0,52,70,4.0,69,71,14.0,114,55
RPL13,214,43.0,60.0,379,259,58.0,250,345,163,264,208,49.0,319,237,50.0,327,301,48.0,255,273
CHMP1A,2209,512.0,437.0,3710,2358,630.0,3016,3154,1629,3119,2434,505.0,3012,2538,539.0,3016,2727,519.0,2437,2432
RPA1,1610,326.0,435.0,3006,1919,417.0,2524,2446,1203,2207,1531,495.0,2265,2149,421.0,2436,2098,414.0,2115,1805
SERPINF1,167,33.0,40.0,401,234,106.0,466,289,149,292,213,79.0,422,335,49.0,380,521,55.0,245,400
TUBGCP3,963,230.0,284.0,1549,992,297.0,1363,1432,807,1314,1042,326.0,1328,1266,283.0,1392,1283,270.0,1302,1103
OPRM1,14,4.0,10.0,18,6,5.0,18,16,10,12,5,7.0,8,14,2.0,7,13,10.0,16,4
